# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
2354.064772, 924.702226, 1.660388, 1974.700000, 0.870490
2353.785722, 924.536195, 1.660246, 1974.600000, 0.870459
2353.506025, 924.370177, 1.660104, 1974.500000, 0.870428
2353.227334, 924.204174, 1.659963, 1974.400000, 0.870397
2352.949494, 924.038185, 1.659823, 1974.300000, 0.870366
2352.668962, 923.872209, 1.659680, 1974.200000, 0.870335
2352.391151, 923.706248, 1.659540, 1974.100000, 0.870304
2352.112808, 923.540302, 1.659399, 1974.000000, 0.870273
2351.833890, 923.374369, 1.659258, 1973.900000, 0.870243
2351.553748, 923.208450, 1.659114, 1973.800000, 0.870211
2351.276457, 923.042546, 1.658975, 1973.700000, 0.870181
2350.996527, 922.876655, 1.658832, 1973.600000, 0.870149
2350.720267, 922.710779, 1.658694, 1973.500000, 0.870119
2350.439700, 922.544917, 1.658551, 1973.400000, 0.870088
2350.160990, 922.379069, 1.658410, 1973.300000, 0.870056
2349.883625, 922.213235, 1.658270, 1973.200000, 0.870026
2349.604452, 922.047415, 1.658128, 1973.100000, 0.869995
2349.325236, 921.881609, 1.657986, 1973.000000, 0.869964
2349.045918, 921.715818, 1.657844, 1972.900000, 0.869932
2348.768068, 921.550040, 1.657703, 1972.800000, 0.869902
2348.489461, 921.384277, 1.657563, 1972.700000, 0.869871
2348.210485, 921.218528, 1.657421, 1972.600000, 0.869839
2347.933344, 921.052793, 1.657282, 1972.500000, 0.869809
2347.653247, 920.887072, 1.657138, 1972.400000, 0.869778
2347.376146, 920.721365, 1.656999, 1972.300000, 0.869747
2347.096412, 920.555672, 1.656856, 1972.200000, 0.869716
2346.818999, 920.389994, 1.656717, 1972.100000, 0.869684
2346.539470, 920.224329, 1.656574, 1972.000000, 0.869653
2346.261384, 920.058679, 1.656433, 1971.900000, 0.869622
2345.981895, 919.893043, 1.656290, 1971.800000, 0.869591
2345.703405, 919.727421, 1.656149, 1971.700000, 0.869560
2345.425042, 919.561813, 1.656008, 1971.600000, 0.869529
2345.147200, 919.396219, 1.655868, 1971.500000, 0.869498
2344.868439, 919.230639, 1.655726, 1971.400000, 0.869467
2344.590129, 919.065074, 1.655585, 1971.300000, 0.869436
2344.311343, 918.899522, 1.655443, 1971.200000, 0.869405
2344.033899, 918.733985, 1.655304, 1971.100000, 0.869374
2343.755149, 918.568462, 1.655162, 1971.000000, 0.869342
2343.476914, 918.402952, 1.655021, 1970.900000, 0.869311
2343.199194, 918.237457, 1.654880, 1970.800000, 0.869280
2342.920433, 918.071977, 1.654739, 1970.700000, 0.869249
2342.641260, 917.906510, 1.654596, 1970.600000, 0.869218
2342.362272, 917.741057, 1.654454, 1970.500000, 0.869187
2342.084742, 917.575619, 1.654314, 1970.400000, 0.869156
2341.806056, 917.410195, 1.654172, 1970.300000, 0.869125
2341.529599, 917.244784, 1.654034, 1970.200000, 0.869094
2341.251117, 917.079388, 1.653892, 1970.100000, 0.869063
2340.971990, 916.914006, 1.653750, 1970.000000, 0.869031
2340.694373, 916.748638, 1.653609, 1969.900000, 0.869000
2340.414282, 916.583285, 1.653466, 1969.800000, 0.868968
2340.135382, 916.417945, 1.653323, 1969.700000, 0.868937
2339.860139, 916.252620, 1.653186, 1969.600000, 0.868907
2339.580216, 916.087308, 1.653042, 1969.500000, 0.868875
2339.302194, 915.922011, 1.652901, 1969.400000, 0.868844
2339.025513, 915.756728, 1.652762, 1969.300000, 0.868813
2338.744647, 915.591459, 1.652618, 1969.200000, 0.868781
2338.467787, 915.426204, 1.652478, 1969.100000, 0.868750
2338.189666, 915.260964, 1.652337, 1969.000000, 0.868719
2337.910841, 915.095737, 1.652194, 1968.900000, 0.868688
2337.634513, 914.930525, 1.652056, 1968.800000, 0.868657
2337.355405, 914.765326, 1.651913, 1968.700000, 0.868625
2337.076146, 914.600142, 1.651770, 1968.600000, 0.868594
2336.799044, 914.434972, 1.651630, 1968.500000, 0.868563
2336.522146, 914.269816, 1.651491, 1968.400000, 0.868532
2336.241872, 914.104674, 1.651346, 1968.300000, 0.868500
2335.964831, 913.939547, 1.651207, 1968.200000, 0.868469
2335.686335, 913.774433, 1.651064, 1968.100000, 0.868438
2335.409267, 913.609334, 1.650925, 1968.000000, 0.868407
2335.129571, 913.444248, 1.650781, 1967.900000, 0.868375
2334.852280, 913.279177, 1.650641, 1967.800000, 0.868344
2334.573613, 913.114120, 1.650498, 1967.700000, 0.868312
2334.297945, 912.949077, 1.650361, 1967.600000, 0.868281
2334.018984, 912.784049, 1.650218, 1967.500000, 0.868250
2333.740041, 912.619034, 1.650076, 1967.400000, 0.868218
2333.462119, 912.454033, 1.649934, 1967.300000, 0.868187
2333.184206, 912.289047, 1.649793, 1967.200000, 0.868156
2332.907143, 912.124075, 1.649652, 1967.100000, 0.868125
2332.629202, 911.959117, 1.649512, 1967.000000, 0.868093
2332.351189, 911.794173, 1.649370, 1966.900000, 0.868062
2332.073282, 911.629243, 1.649229, 1966.800000, 0.868030
2331.795147, 911.464327, 1.649087, 1966.700000, 0.867999
2331.515783, 911.299425, 1.648944, 1966.600000, 0.867967
2331.239766, 911.134538, 1.648805, 1966.500000, 0.867937
