# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
1825.185106, 733.546991, 1.302021, 1965.200000
1824.966115, 733.416795, 1.301909, 1965.100000
1824.750266, 733.286609, 1.301801, 1965.000000
1824.531311, 733.156435, 1.301688, 1964.900000
1824.314341, 733.026271, 1.301579, 1964.800000
1824.095356, 732.896119, 1.301466, 1964.700000
1823.876445, 732.765978, 1.301354, 1964.600000
1823.660175, 732.635848, 1.301245, 1964.500000
1823.442732, 732.505729, 1.301134, 1964.400000
1823.224994, 732.375621, 1.301024, 1964.300000
1823.007644, 732.245524, 1.300913, 1964.200000
1822.789228, 732.115439, 1.300802, 1964.100000
1822.570352, 731.985364, 1.300690, 1964.000000
1822.353863, 731.855301, 1.300580, 1963.900000
1822.135017, 731.725248, 1.300468, 1963.800000
1821.917813, 731.595207, 1.300358, 1963.700000
1821.699687, 731.465177, 1.300246, 1963.600000
1821.482073, 731.335157, 1.300136, 1963.500000
1821.265100, 731.205149, 1.300026, 1963.400000
1821.047643, 731.075152, 1.299915, 1963.300000
1820.829894, 730.945166, 1.299804, 1963.200000
1820.611908, 730.815192, 1.299693, 1963.100000
1820.393191, 730.685228, 1.299581, 1963.000000
1820.176297, 730.555275, 1.299471, 1962.900000
1819.958420, 730.425334, 1.299360, 1962.800000
1819.741868, 730.295403, 1.299250, 1962.700000
1819.524466, 730.165484, 1.299140, 1962.600000
1819.305510, 730.035576, 1.299027, 1962.500000
1819.087639, 729.905678, 1.298916, 1962.400000
1818.870341, 729.775792, 1.298805, 1962.300000
1818.652998, 729.645917, 1.298695, 1962.200000
1818.436168, 729.516053, 1.298585, 1962.100000
1818.218752, 729.386201, 1.298474, 1962.000000
1818.000960, 729.256359, 1.298363, 1961.900000
1817.782553, 729.126528, 1.298250, 1961.800000
1817.565914, 728.996709, 1.298141, 1961.700000
1817.347043, 728.866900, 1.298028, 1961.600000
1817.130307, 728.737103, 1.297918, 1961.500000
1816.912091, 728.607316, 1.297807, 1961.400000
