# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
3.492050e+15, 1.248274e+36, 1e+39
3.491629e+15, 1.248051e+36, 1e+39
3.491215e+15, 1.247827e+36, 1e+39
3.490796e+15, 1.247603e+36, 1e+39
3.490380e+15, 1.247380e+36, 1e+39
3.489960e+15, 1.247156e+36, 1e+39
3.489546e+15, 1.246933e+36, 1e+39
3.489127e+15, 1.246709e+36, 1e+39
3.488710e+15, 1.246486e+36, 1e+39
3.488291e+15, 1.246262e+36, 1e+39
3.487876e+15, 1.246039e+36, 1e+39
3.487455e+15, 1.245815e+36, 1e+39
3.487039e+15, 1.245592e+36, 1e+39
3.486624e+15, 1.245368e+36, 1e+39
3.486202e+15, 1.245145e+36, 1e+39
3.485787e+15, 1.244922e+36, 1e+39
3.485368e+15, 1.244698e+36, 1e+39
3.484951e+15, 1.244475e+36, 1e+39
3.484533e+15, 1.244251e+36, 1e+39
3.484115e+15, 1.244028e+36, 1e+39
3.483699e+15, 1.243805e+36, 1e+39
3.483282e+15, 1.243582e+36, 1e+39
3.482864e+15, 1.243358e+36, 1e+39
3.482446e+15, 1.243135e+36, 1e+39
3.482029e+15, 1.242912e+36, 1e+39
3.481612e+15, 1.242689e+36, 1e+39
3.481196e+15, 1.242466e+36, 1e+39
3.480779e+15, 1.242242e+36, 1e+39
3.480361e+15, 1.242019e+36, 1e+39
3.479943e+15, 1.241796e+36, 1e+39
3.479525e+15, 1.241573e+36, 1e+39
3.479109e+15, 1.241350e+36, 1e+39
3.478691e+15, 1.241127e+36, 1e+39
3.478276e+15, 1.240904e+36, 1e+39
3.477856e+15, 1.240681e+36, 1e+39
3.477441e+15, 1.240458e+36, 1e+39
3.477022e+15, 1.240235e+36, 1e+39
3.476609e+15, 1.240012e+36, 1e+39
3.476190e+15, 1.239789e+36, 1e+39
3.475770e+15, 1.239566e+36, 1e+39
3.475357e+15, 1.239343e+36, 1e+39
3.474939e+15, 1.239120e+36, 1e+39
3.474518e+15, 1.238897e+36, 1e+39
3.474106e+15, 1.238674e+36, 1e+39
3.473690e+15, 1.238452e+36, 1e+39
3.473268e+15, 1.238229e+36, 1e+39
3.472853e+15, 1.238006e+36, 1e+39
3.472439e+15, 1.237783e+36, 1e+39
3.472021e+15, 1.237560e+36, 1e+39
3.471602e+15, 1.237338e+36, 1e+39
3.471185e+15, 1.237115e+36, 1e+39
3.470769e+15, 1.236892e+36, 1e+39
