################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# mu_0 = 2700.0
# quarks_eos_file_name = ../workspace/eos.mft.qcd/MFT.QCD.B_70_XI_0.0075.FULL.NUC.csv
# hadrons_eos_file_name = ../workspace/eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=679.5593621124518, sup_limit=7259.004141288889)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Transition pressure (hadrons) = [ 1716.51221336]
# Transition pressure (quarks) = [ 1716.51221336]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
2187.00549543, 1464.38367409, 2489.70917874
2183.44463726, 1460.49263399, 2487.06441048
2179.8837791, 1456.60159388, 2484.41964223
2176.32292093, 1452.71055378, 2481.77487397
2172.76206277, 1448.81951367, 2479.13010572
2169.2012046, 1444.92847357, 2476.48533746
2165.64034644, 1441.03743347, 2473.84056921
2162.07948827, 1437.14639336, 2471.19580095
2158.51863011, 1433.25535326, 2468.5510327
2154.95777194, 1429.36431315, 2465.90626444
2151.39691378, 1425.47327305, 2463.26149619
2147.83605561, 1421.58223294, 2460.61672793
2144.29827335, 1417.76027405, 2457.97195968
2140.777294, 1413.98861706, 2455.32719142
2137.25631464, 1410.21696007, 2452.68242317
2133.73533529, 1406.44530307, 2450.03765491
2130.21435593, 1402.67364608, 2447.39288666
2126.69337658, 1398.90198909, 2444.7481184
2123.17239722, 1395.1303321, 2442.10335015
2119.65141787, 1391.3586751, 2439.45858189
2116.13043851, 1387.58701811, 2436.81381364
2112.60945916, 1383.81536112, 2434.16904538
2109.0884798, 1380.04370412, 2431.52427713
2105.56750045, 1376.27204713, 2428.87950887
2102.04652109, 1372.50039014, 2426.23474061
2098.52554174, 1368.72873314, 2423.58997236
2095.00456238, 1364.95707615, 2420.9452041
2091.48358303, 1361.18541916, 2418.30043585
2087.96260367, 1357.41376217, 2415.65566759
2084.44162432, 1353.64210517, 2413.01089934
2080.92064496, 1349.87044818, 2410.36613108
2077.39966561, 1346.09879119, 2407.72136283
2073.87868625, 1342.32713419, 2405.07659457
2070.3577069, 1338.5554772, 2402.43182632
2066.83672754, 1334.78382021, 2399.78705806
2063.31574819, 1331.01216321, 2397.14228981
2059.79476883, 1327.24050622, 2394.49752155
2056.27378948, 1323.46884923, 2391.8527533
2052.75281012, 1319.69719224, 2389.20798504
2049.23183077, 1315.92553524, 2386.56321679
2045.71085141, 1312.15387825, 2383.91844853
2042.18987206, 1308.38222126, 2381.27368028
2038.6688927, 1304.61056426, 2378.62891202
2035.14791335, 1300.83890727, 2375.98414377
2031.62693399, 1297.06725028, 2373.33937551
2028.10595464, 1293.29559328, 2370.69460726
2024.60638768, 1289.56667465, 2368.049839
2021.15162912, 1285.92718822, 2365.40507075
2017.69687055, 1282.28770179, 2362.76030249
2014.24211198, 1278.64821536, 2360.11553424
2010.78735341, 1275.00872893, 2357.47076598
2007.33259485, 1271.3692425, 2354.82599773
2003.87783628, 1267.72975607, 2352.18122947
2000.42307771, 1264.09026965, 2349.53646122
1996.96831914, 1260.45078322, 2346.89169296
1993.51356057, 1256.81129679, 2344.24692471
1990.05880201, 1253.17181036, 2341.60215645
1986.60404344, 1249.53232393, 2338.9573882
1983.14928487, 1245.8928375, 2336.31261994
1979.6945263, 1242.25335107, 2333.66785169
1976.23976773, 1238.61386464, 2331.02308343
1972.78500917, 1234.97437821, 2328.37831518
1969.3302506, 1231.33489179, 2325.73354692
1965.87549203, 1227.69540536, 2323.08877867
1962.42073346, 1224.05591893, 2320.44401041
1958.96597489, 1220.4164325, 2317.79924215
1955.51121633, 1216.77694607, 2315.1544739
1952.05645776, 1213.13745964, 2312.50970564
1948.60169919, 1209.49797321, 2309.86493739
1945.14694062, 1205.85848678, 2307.22016913
1941.69218206, 1202.21900035, 2304.57540088
1938.23742349, 1198.57951392, 2301.93063262
1934.78266492, 1194.9400275, 2299.28586437
1931.32790635, 1191.30054107, 2296.64109611
1927.87314778, 1187.66105464, 2293.99632786
1924.41838922, 1184.02156821, 2291.3515596
1920.96363065, 1180.38208178, 2288.70679135
1917.50887208, 1176.74259535, 2286.06202309
1914.05411351, 1173.10310892, 2283.41725484
1910.59935494, 1169.46362249, 2280.77248658
1907.17468053, 1165.91581126, 2278.12771833
1903.76226243, 1162.40535182, 2275.48295007
1900.34984433, 1158.89489237, 2272.83818182
1896.93742624, 1155.38443293, 2270.19341356
1893.52500814, 1151.87397348, 2267.54864531
1890.11259004, 1148.36351404, 2264.90387705
1886.70017195, 1144.85305459, 2262.2591088
1883.28775385, 1141.34259515, 2259.61434054
1879.87533575, 1137.8321357, 2256.96957229
1876.46291766, 1134.32167626, 2254.32480403
1873.05049956, 1130.81121681, 2251.68003578
1869.63808146, 1127.30075737, 2249.03526752
1866.22566337, 1123.79029792, 2246.39049927
1862.81324527, 1120.27983848, 2243.74573101
1859.40082717, 1116.76937903, 2241.10096276
1855.98840908, 1113.25891959, 2238.4561945
1852.57599098, 1109.74846014, 2235.81142625
1849.16357288, 1106.2380007, 2233.16665799
1845.75115479, 1102.72754125, 2230.52188974
1842.33873669, 1099.21708181, 2227.87712148
1838.92631859, 1095.70662236, 2225.23235323
1835.5139005, 1092.19616292, 2222.58758497
1832.1014824, 1088.68570347, 2219.94281672
1828.6890643, 1085.17524403, 2217.29804846
1825.27664621, 1081.66478458, 2214.6532802
1821.86422811, 1078.15432514, 2212.00851195
1818.45181001, 1074.64386569, 2209.36374369
1815.03939192, 1071.13340625, 2206.71897544
1811.62697382, 1067.6229468, 2204.07420718
1808.21455572, 1064.11248736, 2201.42943893
1804.80213763, 1060.60202791, 2198.78467067
1801.38971953, 1057.09156847, 2196.13990242
1797.97730143, 1053.58110902, 2193.49513416
1794.63779983, 1050.2136335, 2190.85036591
1791.29860601, 1046.84676436, 2188.20559765
1787.9594122, 1043.47989523, 2185.5608294
1784.62021839, 1040.11302609, 2182.91606114
1781.28102457, 1036.74615696, 2180.27129289
1777.94183076, 1033.37928783, 2177.62652463
1774.60263694, 1030.01241869, 2174.98175638
1771.26344313, 1026.64554956, 2172.33698812
1767.92424931, 1023.27868042, 2169.69221987
1764.5850555, 1019.91181129, 2167.04745161
1761.24586168, 1016.54494215, 2164.40268336
1757.90666787, 1013.17807302, 2161.7579151
1754.56747405, 1009.81120388, 2159.11314685
1751.22828024, 1006.44433475, 2156.46837859
1747.88908642, 1003.07746561, 2153.82361034
1744.54989261, 999.710596478, 2151.17884208
1741.21069879, 996.343727343, 2148.53407383
1737.87150498, 992.976858209, 2145.88930557
1734.53231116, 989.609989074, 2143.24453732
1731.19311735, 986.243119939, 2140.59976906
1727.85392354, 982.876250805, 2137.95500081
1724.51472972, 979.50938167, 2135.31023255
1721.17553591, 976.142512535, 2132.6654643
