# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
117.061856, 2.349610, 0.123333, 968.200000
117.265883, 2.361954, 0.123544, 968.300000
117.471519, 2.374319, 0.123756, 968.400000
117.675088, 2.386705, 0.123966, 968.500000
117.879385, 2.399113, 0.124177, 968.600000
118.083936, 2.411541, 0.124389, 968.700000
118.287195, 2.423990, 0.124598, 968.800000
118.489960, 2.436461, 0.124808, 968.900000
118.692736, 2.448952, 0.125017, 969.000000
118.894305, 2.461464, 0.125225, 969.100000
119.095975, 2.473997, 0.125433, 969.200000
119.297715, 2.486551, 0.125641, 969.300000
119.499361, 2.499126, 0.125849, 969.400000
119.699909, 2.511721, 0.126056, 969.500000
119.900387, 2.524338, 0.126262, 969.600000
120.101610, 2.536974, 0.126470, 969.700000
120.301451, 2.549632, 0.126676, 969.800000
120.500655, 2.562310, 0.126882, 969.900000
120.700968, 2.575009, 0.127088, 970.000000
120.899476, 2.587728, 0.127293, 970.100000
121.098753, 2.600467, 0.127499, 970.200000
121.296624, 2.613227, 0.127702, 970.300000
121.494143, 2.626008, 0.127906, 970.400000
121.691739, 2.638809, 0.128109, 970.500000
121.889977, 2.651630, 0.128314, 970.600000
122.089144, 2.664472, 0.128519, 970.700000
122.288775, 2.677334, 0.128725, 970.800000
122.486941, 2.690217, 0.128928, 970.900000
122.686509, 2.703120, 0.129134, 971.000000
122.885674, 2.716044, 0.129339, 971.100000
123.085184, 2.728989, 0.129545, 971.200000
123.283361, 2.741953, 0.129749, 971.300000
123.481723, 2.754939, 0.129953, 971.400000
123.680720, 2.767944, 0.130158, 971.500000
123.879075, 2.780971, 0.130362, 971.600000
124.078045, 2.794017, 0.130567, 971.700000
124.277369, 2.807084, 0.130772, 971.800000
124.474553, 2.820172, 0.130975, 971.900000
124.671853, 2.833279, 0.131177, 972.000000
124.870641, 2.846408, 0.131382, 972.100000
125.068928, 2.859556, 0.131586, 972.200000
125.265565, 2.872725, 0.131788, 972.300000
125.463706, 2.885914, 0.131992, 972.400000
125.660601, 2.899124, 0.132195, 972.500000
125.857332, 2.912353, 0.132397, 972.600000
126.054694, 2.925603, 0.132600, 972.700000
126.251549, 2.938874, 0.132802, 972.800000
126.447665, 2.952164, 0.133004, 972.900000
126.643291, 2.965475, 0.133205, 973.000000
126.839472, 2.978805, 0.133406, 973.100000
127.036255, 2.992156, 0.133609, 973.200000
127.231310, 3.005527, 0.133809, 973.300000
127.427133, 3.018919, 0.134010, 973.400000
127.623146, 3.032330, 0.134212, 973.500000
127.818149, 3.045761, 0.134412, 973.600000
128.012509, 3.059212, 0.134612, 973.700000
128.207601, 3.072684, 0.134812, 973.800000
128.402393, 3.086175, 0.135012, 973.900000
128.596235, 3.099686, 0.135211, 974.000000
128.790643, 3.113217, 0.135411, 974.100000
128.983723, 3.126768, 0.135609, 974.200000
129.177825, 3.140339, 0.135808, 974.300000
129.370881, 3.153930, 0.136006, 974.400000
