ERG_TO_MEV              ,6.241506E+005,,,,,,,
CM_TO_FM                ,1.000000E+013,,,,,,,
FM3_TO_CM3              ,1.000000E+039,,,,,,,
,,,,,,,,
LIGHT_SPEED_CGS,2.998000E+010,,,,,,,
LIGHT_SPEED_CGS_2,8.988004E+020,,,,,,,
LIGHT_SPEED_FM,2.998000E+023,fm/s,,,,,,
LIGHT_SPEED_FM_2,8.988004E+046,,,,,,,
,,,,,,,,
,,,,,,,,
# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg],,# epsilon[Mev/fm^3] , P[Mev/fm^3] ,  n_B[fm^{-3}] , mu [MeV]
84440000000,1.127E+029,5.063E+034,0.0015012326,,0.0473697298,7.03417780291492E-005,0.00005063,936.995290689
63470000000,7.913E+028,3.807E+034,0.0015005514,,0.0356058355,0.000049389,0.00003807,936.5701219394
46520000000,5.367E+028,2.791E+034,0.001500031,,0.0260971084,3.34981652779453E-005,0.00002791,936.2453072016
41740000000,4.628E+028,2.507E+034,0.0014982931,,0.0234155912,2.88856919892549E-005,0.00002507,935.1606261575
33150000000,3.404E+028,1.991E+034,0.0014982056,,0.0185967141,2.12460880577838E-005,0.00001991,935.105988673
25330000000,2.503E+028,1.522E+034,0.0014974799,,0.014209797,1.56224907193399E-005,0.00001522,934.6530521604
20910000000,1.938E+028,1.257E+034,0.0014966823,,0.0117302351,0.000012096,0.00001257,934.15522009
16610000000,1.425E+028,9.982E+033,0.0014970271,,0.0093179916,8.894146733943E-006,0.000009982,934.3704427737
13190000000,1.048E+028,7.93E+033,0.0014962998,,0.0073994166,6.54109879099808E-006,0.00000793,933.9164789046
10110000000,7.702E+027,6.081E+033,0.0014955721,,0.0056715771,4.80720829086519E-006,0.000006081,933.462306004
8031000000,5.662E+027,4.83E+033,0.0014956373,,0.0045052854,3.53394096895335E-006,0.00000483,933.5029710178
6606000000,4.362E+027,3.974E+033,0.001495178,,0.0037058791,2.72254512655855E-006,0.000003974,933.2163286263
4166000000,2.356E+027,2.507E+033,0.0014945187,,0.0023370712,1.47049892667858E-006,0.000002507,932.8048363335
2545000000,1.272E+027,1.532E+033,0.0014939419,,0.0014277115,7.93919624250912E-007,0.000001532,932.4448160349
1606000000,6.86E+026,9.667E+032,0.0014939065,,0.0009009449,4.28167344525256E-007,9.667E-007,932.4227286475
1046000000,4.129E+026,6.296E+032,0.0014938979,,0.0005867922,2.57711802557548E-007,6.296E-007,932.41734288
830300000,3.029E+026,5.001E+032,0.0014928552,,0.0004657874,1.89055231277988E-007,5.001E-007,931.7665237203
523900000,1.629E+026,3.156E+032,0.0014925362,,0.000293901,1.01674140558548E-007,3.156E-007,931.5674459594
330500000,8.738E+025,1.991E+032,0.0014924205,,0.0001854062,5.45382836218905E-008,1.991E-007,931.4951928466
262500000,6.676E+025,1.581E+032,0.0014927379,,0.000147259,4.1668297260213E-008,1.581E-007,931.6933394561
131500000,2.604E+025,7.926E+031,0.0014915253,,7.37697710483969E-005,1.62528828738158E-008,7.926E-008,930.9364614089
65920000,1.006E+025,3.973E+031,0.0014915425,,3.69802532890519E-005,6.27895551883976E-009,3.973E-008,930.9471997123
33020000,3.833E+024,1.99E+031,0.001491569,,1.85237858556507E-005,2.39236943376867E-009,1.99E-008,930.9637299037
16550000,1.435E+024,1E+031,0.0014876582,,9.28433240190851E-006,8.9565617987426E-010,0.00000001,928.5228058088
8293000,5.259E+023,5E+030,0.0014908555,,4.65226396429168E-006,3.28240825781096E-010,0.000000005,930.5184410235
6588000,3.911E+023,4E+030,0.001480422,,3.69578138149687E-006,2.44105318431236E-010,0.000000004,924.0063717038
2622000,9.755E+022,1.581E+030,0.0014906719,,1.47090752615131E-006,6.08858957120098E-011,1.581E-009,930.4038026863
1044000,2.318E+022,6.294E+029,0.0014908974,,5.85670273570543E-007,1.44678120205473E-011,6.294E-010,930.5445525621
415600,5.266E+021,2.506E+029,0.0014906094,,2.33146135724059E-007,3.28677731234694E-012,2.506E-010,930.3648144508
165400,1.151E+021,9.976E+028,0.0014902039,,9.27872253338772E-008,7.18397395843396E-013,9.976E-011,930.1117054057
65870,2.431E+020,3.972E+028,0.0014905394,,0.000000037,1.51731022527828E-013,3.972E-011,930.3211399162
26220,4.968E+019,1.581E+028,0.0014906133,,1.47090752615131E-008,3.10078041924413E-014,1.581E-011,930.3672529612
10440,9.744E+018,6.295E+027,0.0014906252,,5.85670273570543E-009,6.08172391407302E-015,6.295E-012,930.3747128561
1150,1.9E+017,6.93E+026,0.0014915161,,6.45134879890924E-010,1.1858862311924E-016,6.93E-013,930.9307337367
212,5.82E+015,1.27E+026,0.0015003598,,1.18929212640762E-010,3.63255677133672E-018,1.27E-013,936.4505218372
45.1,170000000000000,2.72E+025,0.0014902904,,2.53005070287658E-011,1.0610561015932E-019,2.72E-014,930.1657034879
