# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
2113.352161, 828.860291, 1.505122, 1954.800000
2113.099361, 828.709785, 1.504993, 1954.700000
2112.843523, 828.559292, 1.504861, 1954.600000
2112.590322, 828.408813, 1.504732, 1954.500000
2112.336760, 828.258346, 1.504602, 1954.400000
2112.082604, 828.107892, 1.504472, 1954.300000
2111.828898, 827.957452, 1.504343, 1954.200000
2111.575448, 827.807024, 1.504213, 1954.100000
2111.321285, 827.656609, 1.504083, 1954.000000
2111.066814, 827.506207, 1.503953, 1953.900000
2110.813676, 827.355819, 1.503824, 1953.800000
2110.559740, 827.205443, 1.503694, 1953.700000
2110.304827, 827.055080, 1.503562, 1953.600000
2110.051739, 826.904730, 1.503433, 1953.500000
2109.798683, 826.754393, 1.503304, 1953.400000
2109.542827, 826.604070, 1.503172, 1953.300000
2109.290228, 826.453759, 1.503043, 1953.200000
2109.035404, 826.303461, 1.502912, 1953.100000
2108.781528, 826.153176, 1.502782, 1953.000000
2108.529693, 826.002904, 1.502655, 1952.900000
2108.274858, 825.852646, 1.502523, 1952.800000
2108.020103, 825.702400, 1.502392, 1952.700000
2107.766789, 825.552167, 1.502263, 1952.600000
2107.513973, 825.401947, 1.502134, 1952.500000
2107.259208, 825.251740, 1.502003, 1952.400000
2107.005452, 825.101547, 1.501873, 1952.300000
2106.751551, 824.951366, 1.501742, 1952.200000
2106.499960, 824.801198, 1.501615, 1952.100000
2106.244765, 824.651043, 1.501484, 1952.000000
2105.991177, 824.500901, 1.501354, 1951.900000
2105.737013, 824.350772, 1.501223, 1951.800000
2105.484990, 824.200657, 1.501096, 1951.700000
2105.229822, 824.050554, 1.500963, 1951.600000
2104.975706, 823.900464, 1.500833, 1951.500000
2104.722206, 823.750387, 1.500703, 1951.400000
2104.468063, 823.600323, 1.500572, 1951.300000
2104.216900, 823.450272, 1.500446, 1951.200000
2103.963174, 823.300234, 1.500316, 1951.100000
2103.707614, 823.150210, 1.500183, 1951.000000
2103.455179, 823.000198, 1.500055, 1950.900000
2103.200148, 822.850199, 1.499922, 1950.800000
2102.947699, 822.700213, 1.499794, 1950.700000
2102.694810, 822.550240, 1.499665, 1950.600000
2102.440331, 822.400280, 1.499533, 1950.500000
2102.186604, 822.250333, 1.499403, 1950.400000
2101.934288, 822.100400, 1.499275, 1950.300000
2101.679680, 821.950479, 1.499143, 1950.200000
2101.426841, 821.800571, 1.499014, 1950.100000
2101.173180, 821.650676, 1.498884, 1950.000000
2100.920930, 821.500794, 1.498756, 1949.900000
2100.666014, 821.350925, 1.498623, 1949.800000
2100.411422, 821.201069, 1.498492, 1949.700000
2100.159161, 821.051226, 1.498364, 1949.600000
2099.905109, 820.901396, 1.498233, 1949.500000
2099.652389, 820.751580, 1.498104, 1949.400000
2099.398694, 820.601776, 1.497974, 1949.300000
2099.146939, 820.451985, 1.497846, 1949.200000
2098.892446, 820.302207, 1.497715, 1949.100000
2098.637987, 820.152442, 1.497583, 1949.000000
2098.386286, 820.002690, 1.497455, 1948.900000
2098.132619, 819.852951, 1.497325, 1948.800000
2097.879199, 819.703225, 1.497194, 1948.700000
2097.626061, 819.553512, 1.497065, 1948.600000
2097.371633, 819.403813, 1.496933, 1948.500000
2097.119085, 819.254126, 1.496804, 1948.400000
2096.864685, 819.104452, 1.496673, 1948.300000
2096.611618, 818.954791, 1.496543, 1948.200000
2096.359380, 818.805143, 1.496415, 1948.100000
2096.105471, 818.655508, 1.496284, 1948.000000
2095.853444, 818.505886, 1.496155, 1947.900000
2095.598637, 818.356277, 1.496023, 1947.800000
2095.346465, 818.206681, 1.495895, 1947.700000
2095.092628, 818.057098, 1.495764, 1947.600000
2094.839202, 817.907529, 1.495633, 1947.500000
2094.588011, 817.757972, 1.495506, 1947.400000
2094.332741, 817.608428, 1.495373, 1947.300000
2094.080835, 817.458897, 1.495245, 1947.200000
2093.826902, 817.309379, 1.495114, 1947.100000
2093.573168, 817.159874, 1.494983, 1947.000000
2093.321408, 817.010382, 1.494855, 1946.900000
2093.067212, 816.860903, 1.494723, 1946.800000
2092.813530, 816.711438, 1.494592, 1946.700000
2092.562814, 816.561985, 1.494466, 1946.600000
2092.308178, 816.412545, 1.494333, 1946.500000
2092.054801, 816.263118, 1.494203, 1946.400000
2091.802180, 816.113704, 1.494073, 1946.300000
2091.549058, 815.964303, 1.493944, 1946.200000
2091.296232, 815.814915, 1.493814, 1946.100000
2091.042943, 815.665540, 1.493683, 1946.000000
2090.790529, 815.516179, 1.493554, 1945.900000
2090.536620, 815.366830, 1.493423, 1945.800000
2090.284517, 815.217494, 1.493294, 1945.700000
2090.031284, 815.068171, 1.493164, 1945.600000
2089.778895, 814.918861, 1.493035, 1945.500000
2089.523891, 814.769564, 1.492902, 1945.400000
2089.273022, 814.620280, 1.492774, 1945.300000
2089.018368, 814.471010, 1.492642, 1945.200000
2088.767359, 814.321752, 1.492515, 1945.100000
2088.512545, 814.172507, 1.492382, 1945.000000
2088.259766, 814.023275, 1.492252, 1944.900000
